path,max_daily_liquidations,max_daily_liq_volume,max_oas_bps,min_liquidity,max_drawdown,emergency_days,oracle_stale_gap
370,0.0,0.0,100.56292931351791,0.7735926767162052,-0.0538641419393473,0,0
371,0.0,0.0,93.19371255148256,0.7920157186212936,-0.028824214953087957,0,0
372,0.0,0.0,104.27722104462161,0.764306947388446,-0.0373430503801192,0,0
373,0.0,0.0,71.26882689874556,0.8468279327531361,-0.09000913914004383,0,0
374,0.0,0.0,87.96513559563745,0.8050871610109064,-0.042721352051714345,0,0
375,250.0,2024344.2229786762,500.0,0.05,-0.037668017177925894,0,1
376,0.0,0.0,83.83098882069933,0.8154225279482517,-0.0384564854212579,0,0
377,0.0,0.0,79.25202105374994,0.8268699473656251,-0.04012653115881837,0,0
378,0.0,0.0,78.35263566035398,0.829118410849115,-0.05437871407664885,0,0
379,0.0,0.0,90.05252488453101,0.7998686877886725,-0.04996369801327982,0,0
380,0.0,0.0,99.7225972550701,0.7756935068623247,-0.05067187363966419,0,0
381,0.0,0.0,84.30358582214791,0.8142410354446302,-0.04663051239028171,0,0
382,0.0,0.0,96.68555883054755,0.7832861029236311,-0.052647099691450205,0,0
383,0.0,0.0,77.8580956771182,0.8303547608072045,-0.04954615985885924,0,0
384,0.0,0.0,84.54218614715066,0.8136445346321233,-0.06721565027691279,0,0
385,0.0,0.0,92.86099443864212,0.7928475139033947,-0.03377543588595511,0,0
386,0.0,0.0,77.19398738539782,0.8320150315365055,-0.09129395927490713,0,0
387,0.0,0.0,84.647867666395,0.8133803308340125,-0.026440201651126927,0,0
388,250.0,2024344.2229786762,500.0,0.05,-0.06910826102396739,0,1
389,0.0,0.0,98.18808762320448,0.7795297809419888,-0.053657612527834186,0,0
390,0.0,0.0,92.19345581530784,0.7945163604617304,-0.08783664434610228,0,0
391,250.0,2024344.2229786762,500.0,0.05,-0.06074237396108029,0,1
392,0.0,0.0,101.32812313431116,0.771679692164222,-0.05924533474483484,0,0
393,0.0,0.0,87.27636744696626,0.8068090813825843,-0.0502704486069433,0,0
394,250.0,2024344.2229786762,500.0,0.05,-0.04329696952815709,0,1
395,0.0,0.0,94.92653178333643,0.7876836705416589,-0.09269810963120972,0,0
396,0.0,0.0,119.91527067947011,0.7252118233013247,-0.04362038497587062,0,0
397,0.0,0.0,89.21838359793648,0.8019540410051588,-0.07054991864137139,0,0
398,250.0,2024344.2229786762,500.0,0.05,-0.06292827183005956,0,0
399,0.0,0.0,110.4391578668492,0.7489021053328769,-0.028919608884108716,0,0
400,0.0,0.0,102.35336346150359,0.769116591346241,-0.026087394232714556,0,0
401,0.0,0.0,110.11473738947208,0.7497131565263198,-0.08858536651685678,0,0
402,0.0,0.0,89.37593436120582,0.8015601640969854,-0.08058999081150175,0,0
403,250.0,2024344.2229786762,500.0,0.05,-0.02958548314295606,0,1
404,0.0,0.0,92.30194308475066,0.7942451422881234,-0.018953597493827523,0,0
405,0.0,0.0,81.74465643560599,0.820638358910985,-0.044796042106034384,0,0
406,0.0,0.0,85.40733426371051,0.8114816643407237,-0.04395102768404813,0,0
407,0.0,0.0,94.41613705957658,0.7889596573510586,-0.08312276046668421,0,0
408,250.0,2024344.2229786762,500.0,0.05,-0.05269210790721146,0,1
409,0.0,0.0,103.81072427585066,0.7654731893103733,-0.04274793021633583,0,0
410,0.0,0.0,102.98702776984236,0.7675324305753941,-0.08274158294048461,0,0
411,0.0,0.0,121.84093844308006,0.7203976538922998,-0.0596868332483278,0,0
412,250.0,2024344.2229786762,500.0,0.05,-0.041723801670261906,0,1
413,0.0,0.0,90.46946999568311,0.7988263250107922,-0.04807309429308548,0,0
414,250.0,2024344.2229786762,500.0,0.05,-0.07068654850413236,0,1
415,0.0,0.0,124.50989271154837,0.713725268221129,-0.09686284807530066,0,0
416,250.0,2024344.2229786762,500.0,0.05,-0.043547863869858205,0,1
417,0.0,0.0,88.3435122171623,0.8041412194570943,-0.039080669017521275,0,0
418,0.0,0.0,86.99159426304293,0.8075210143423927,-0.04075465654348831,0,0
419,0.0,0.0,98.27364551743501,0.7793158862064125,-0.0323253894982406,0,0
420,0.0,0.0,83.48360228779102,0.8162909942805224,-0.040362295954691985,0,0
